146	arin	HQEIS-AS - 754th Electronic Systems Group, US
147	arin	DNIC-AS-00147 - DoD Network Information Center, US
148	arin	DNIC-AS-00148 - Navy Network Information Center (NNIC), US
149	arin	DNIC-AS-00149 - DoD Network Information Center, US
150	arin	DNIC-AS-00150 - DoD Network Information Center, US
151	arin	IND-NTC-AS - Hewlett-Packard Company, US
152	arin	SRI-ACCATT-AS - SRI International, US
153	arin	CTNOSC-ASN-153 - Headquarters, USAISC, US
154	arin	DNIC-AS-00154 - Headquarters, USAISC, US
155	arin	DNIC-AS-00155 - DoD Network Information Center, US
156	arin	NORTHEASTERN-GW-AS - Northeastern University, US
157	arin	INTELLIAUTON - Silicon Graphics International Corp., US
158	arin	ERI-AS - Ericsson Network Systems, Inc., US
159	arin	OSUNET-AS - The Ohio State University, US
160	arin	U-CHICAGO-AS - University of Chicago, US
161	arin	TI-AS - Texas Instruments, Inc., US
162	arin	DNIC-AS-00162 - Navy Network Information Center (NNIC), US
163	arin	IBM-RESEARCH-AS - International Business Machines Corporation, US
164	arin	DNIC-AS-00164 - DoD Network Information Center, US
165	arin	DNIC-AS-00165 - DoD Network Information Center, US
166	arin	IDA-AS - Institute for Defense Analyses, US
167	arin	WESLEYAN-AS - Wesleyan University, US
168	arin	UMASS-AMHERST - University of Massachusetts, US
169	arin	HANSCOM-NET-AS - 754th Electronic Systems Group, US
170	arin	DNIC-AS-00170 - DoD Network Information Center, US
171	arin	SOX-RES - Southern Light Rail, Inc., US
172	arin	DNIC-AS-00172 - Headquarters, USAISC, US
173	apnic	ERX-ECLNET Electrical Communications Laboratories, JP
174	arin	COGENT-174 - Cogent Communications, US
175	arin	PL-AS - 754th Electronic Systems Group, US
176	arin	BCN-AS - Information Systems and Networks Corporation, US
177	arin	UMICH-AS-1 - University of Michigan, US
178	arin	UMICH-AS-2 - University of Michigan, US
179	arin	UMICH-AS-3 - University of Michigan, US
180	arin	UMICH-AS-4 - University of Michigan, US
181	arin	MERIT-AS-1 - Merit Network Inc., US
182	arin	MERIT-AS-2 - Merit Network Inc., US
183	arin	MERIT-AS-3 - Merit Network Inc., US
184	arin	MERIT-AS-4 - Merit Network Inc., US
185	arin	MERIT-AS-5 - Merit Network Inc., US
186	arin	CUA-AS - The Catholic University of America, US
187	arin	DNSCAST-AS - DNScast, US
188	arin	SAIC-AS - SAIC, US
189	arin	LVLT-189 - Level 3 Communications, Inc., US
190	arin	DNIC-AS-00190 - Navy Network Information Center (NNIC), US
191	arin	DNIC-AS-00191 - Navy Network Information Center (NNIC), US
192	arin	ROCHINSTTECH - Rochester Institute of Technology, US
193	arin	FORD-ASN - Lockheed Martin Western Development Labs, US
194	arin	NCAR-AS - University Corporation for Atmospheric Research, US
195	arin	SDSC-AS - San Diego Supercomputer Center, US
196	arin	RISC-SYSTEM - The Boeing Company, US
197	arin	RAYTHEON-AS-2 - Raytheon Company, US
198	arin	DNIC-AS-00198 - DoD Network Information Center, US
199	arin	LVLT-199-203 - Level 3 Communications, Inc., US
200	arin	LVLT-199-203 - Level 3 Communications, Inc., US
201	arin	LVLT-199-203 - Level 3 Communications, Inc., US
202	arin	LVLT-199-203 - Level 3 Communications, Inc., US
203	arin	LVLT-199-203 - Level 3 Communications, Inc., US
204	arin	PSCNET-AS - Pittsburgh Supercomputing Center, US
205	arin	MONTCLAIR-AS - Montclair State University, US
206	arin	CSC-IGN-AMER - Computer Sciences Corporation, US
207	arin	CLI-GW-AS - Computational Logic, Inc., US
208	arin	DNIC-AS-00208 - Navy Network Information Center (NNIC), US
209	arin	CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC, US
210	arin	WEST-NET-WEST - Utah Education Network, US
211	arin	RADC-LONS-GW-AS - Rome Air Development Center, US
212	arin	HQAFSC-LONS-GW-AS - Headquarters, Air Force Systems Command, US
213	arin	DNIC-AS-00213 - Headquarters, USAISC, US
214	arin	DNIC-AS-00214 - Navy Network Information Center (NNIC), US
215	arin	DNIC-AS-00215 - Headquarters, USAISC, US
216	arin	LMSC-HOSTNET-AS - 754th Electronic Systems Group, US
217	arin	UMN-SYSTEM - University of Minnesota, US
218	arin	AFOTECPCNET-AS - 754th Electronic Systems Group, US
